,Time stamps (secs),Mean of events,1,2,3,4
Time of event onset (secs),,,74.55653888,395.81188096,869.05946112,1293.55546624
Max values,,,2.333469,4.5973816,4.298629,4.4929686
Time of max values,,,0.3219197935616034,0.911743781765125,1.304959773900805,8.579455628410887
Max value above 1?,,,Yes,Yes,Yes,Yes
Filename,,,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517,NAc_3147K_2614K-211118-105517
Custom name,,,Peri-event_other,Peri-event_other,Peri-event_other,Peri-event_other
,-9.90169600196608,-0.5374228,0.4104885,0.90661865,-0.6881596,-2.7786386
,-9.80339200393216,-0.10625383,1.3534799,0.21463914,-0.5677477,-1.4253867
,-9.70508800589824,0.096432775,0.99693507,0.6894848,-0.15436576,-1.146323
,-9.60678400786432,0.06686826,-0.013902256,0.14221835,-0.40582582,0.5449828
,-9.5084800098304,0.27800128,0.6987761,1.3509957,-0.657363,-0.28040373
,-9.41017601179648,0.09232631,0.89534175,0.42445138,-0.43302202,-0.51746583
,-9.31187201376256,0.55836934,0.9231402,0.35968626,-0.5122213,1.4628721
,-9.21356801572864,1.0668154,1.404081,1.9715049,-0.5419609,1.4336362
,-9.11526401769472,0.99266803,0.8659783,2.2301543,-0.6903177,1.5648574
,-9.0169600196608,0.3668625,0.50759757,1.7094388,-0.07383424,-0.67575204
,-8.91865602162688,0.24927601,1.3166226,-0.6923163,0.21965328,0.1531445
,-8.82035202359296,-0.30478755,-0.18142545,0.3713239,-1.1261393,-0.28290936
,-8.72204802555904,0.14691606,0.79080904,1.3367504,-0.13377595,-1.4061192
,-8.62374402752512,-0.05106646,-0.54249465,1.4554907,0.15114534,-1.2684072
,-8.5254400294912,-0.978696,0.77423626,-1.4112962,-1.7396169,-1.5381073
,-8.427136031457279,-0.85724795,0.8465966,-1.0784792,-2.608287,-0.58882207
,-8.328832033423359,-0.10277255,1.7491392,-0.11630256,-1.6094165,-0.4345103
,-8.230528035389439,-0.29474986,1.3910896,-0.4347331,-1.8701695,-0.2651864
,-8.132224037355519,0.35119233,1.2563608,1.6215396,-1.1241683,-0.34896275
,-8.033920039321599,-0.123184755,1.19955,0.20372078,-1.3174263,-0.57858354
,-7.935616041287679,0.6732733,0.83547115,0.10242416,-0.06738203,1.8225801
,-7.837312043253759,-0.20496975,-0.23493576,0.8765611,-0.22905065,-1.2324537
,-7.739008045219839,0.04501541,-0.5252799,0.48355177,-0.58709335,0.80888313
,-7.640704047185919,-0.33884266,-1.3999237,0.21620624,-0.30383465,0.13218151
,-7.542400049151999,-0.4341578,-0.7812245,0.2618835,-1.1661077,-0.051182516
,-7.444096051118079,-0.69879794,-1.6160315,-1.4717711,-1.0545703,1.3471814
,-7.345792053084159,-0.071645096,-0.88151366,-0.54964554,0.78715056,0.3574283
,-7.247488055050239,-0.17566924,-1.0845299,-0.4227229,0.7642816,0.040294293
,-7.149184057016319,0.48210704,-0.30543014,-0.2615552,1.7820573,0.71335626
,-7.050880058982399,-0.121726766,0.089717545,-2.1860754,0.687901,0.92154974
,-6.952576060948479,-0.09990497,-0.27531427,-0.095493466,0.21695569,-0.24576783
,-6.854272062914559,-0.16258357,-1.3523623,0.034460627,0.52596813,0.1415992
,-6.755968064880639,0.09737621,-0.89875853,-0.410276,0.87086415,0.8276753
,-6.657664066846719,-0.3533216,-0.18279983,-1.0337139,0.8746408,-1.0714135
,-6.559360068812799,0.09197155,-1.9634172,0.5751503,0.4282821,1.3278708
,-6.461056070778879,-0.4974572,-2.422739,-1.481559,1.5020467,0.41242242
,-6.362752072744959,-0.16864194,-0.7900124,-0.66958046,0.75567126,0.029353796
,-6.264448074711039,0.22961533,-1.089315,-0.7021043,1.6452836,1.064597
,-6.166144076677119,-0.079095036,-1.0530897,-1.4661064,1.6294613,0.5733546
,-6.067840078643199,0.5502144,0.29881305,0.30580097,1.5635849,0.032658625
,-5.969536080609279,0.19895747,-0.76242465,-0.30110532,0.5718273,1.2875326
,-5.871232082575358,0.511116,-0.020974766,0.021666884,0.7735305,1.2702416
,-5.772928084541438,0.15826537,0.006913998,0.27516535,0.23324037,0.11774178
,-5.674624086507518,-0.19555086,1.3473705,-0.67203385,0.8431835,-2.3007236
,-5.576320088473598,0.25152266,0.64354026,1.3556584,-0.47837466,-0.5147334
,-5.478016090439678,0.2876053,0.77275157,0.5453625,-0.506815,0.33912215
,-5.379712092405758,-0.47316137,-0.512128,-1.7448199,0.25886202,0.10544047
,-5.281408094371838,0.044000164,-1.0191016,-1.0550754,1.4098771,0.8403006
,-5.183104096337918,-0.33667907,-1.1462362,-0.687615,0.90978664,-0.4226518
,-5.084800098303998,-0.11838184,-0.3194347,-1.0975285,1.2417892,-0.2983535
,-4.986496100270077,-0.7600141,-0.34891856,-0.8846335,-0.40596896,-1.4005356
,-4.888192102236158,-0.28878748,-1.5004536,0.13711883,0.6643494,-0.45616448
,-4.789888104202237,-0.44485715,-0.6357114,0.46925515,-0.62205195,-0.9909204
,-4.691584106168318,-0.18022926,-0.76845384,0.16411927,0.08261537,-0.19919783
,-4.5932801081343975,-0.061452463,2.2780325,-1.6082505,-0.044887375,-0.87070453
,-4.494976110100478,-0.2337581,0.9925712,-1.9748503,1.4051975,-1.3579508
,-4.3966721120665575,-0.20702456,-0.06529583,-0.5691958,1.1560497,-1.3496563
,-4.2983681140326375,-0.37742338,-0.47528073,-1.3989007,1.5079814,-1.1434934
,-4.2000641159987175,-0.46674585,0.40159017,-1.9504702,0.94513065,-1.263234
,-4.101760117964798,0.09048972,0.740539,-0.8770548,0.9493147,-0.45084003
,-4.003456119930878,-0.21067443,0.20562646,-0.667628,0.040378705,-0.42107496
,-3.9051521218969576,-0.21795523,-0.39560714,-0.035288382,1.2347535,-1.6756788
,-3.8068481238630376,0.38340104,0.6400993,1.0499959,1.4840443,-1.6405354
,-3.7085441258291167,0.07980779,0.31379074,1.2887739,-0.39673108,-0.8866023
,-3.6102401277951968,-0.11450988,-0.20828092,1.2431352,-0.4089198,-1.083974
,-3.5119361297612777,-0.28573507,-1.1439589,1.3156073,-0.27413905,-1.0404496
,-3.4136321317273577,-0.09351897,0.6627314,1.6879617,-1.337928,-1.386841
,-3.315328133693437,0.7315912,0.8155277,2.141009,0.30457804,-0.33474982
,-3.217024135659517,0.18185432,-0.49062958,1.4382141,-0.53601515,0.31584793
,-3.1187201376255977,-0.38535836,-0.03149826,-0.52003753,-0.7126692,-0.2772285
,-3.0204161395916778,0.8603878,0.7546941,2.0431678,0.07690086,0.5667882
,-2.922112141557757,0.480832,0.33592117,1.4176875,-0.18278413,0.35250345
,-2.823808143523837,0.3712346,1.5534062,1.5233129,-0.92363226,-0.66814876
,-2.725504145489918,0.019234281,0.09281741,0.34270498,-0.41985333,0.061268076
,-2.627200147455997,0.78881377,1.2709472,1.6134857,-0.6373677,0.90819
,-2.528896149422077,-0.6003685,-0.086061925,-0.110470876,-1.2160188,-0.9889224
,-2.430592151388156,-0.4878002,-0.25557145,1.427013,-1.7287164,-1.393926
,-2.332288153354238,-0.5928774,-0.38721043,-0.14900623,-1.0756997,-0.7595932
,-2.233984155320317,-0.16452232,0.5508553,1.5057536,-1.5014687,-1.2132295
,-2.135680157286397,-0.24212034,-0.523765,1.638675,-1.2321053,-0.851286
,-2.037376159252476,-0.9586408,-0.66792387,-0.6930485,-1.3232069,-1.1503838
,-1.939072161218558,-0.0457983,0.71988326,2.2378743,-1.3113705,-1.8295802
,-1.8407681631846362,0.71403825,1.52003,2.3250155,-0.99394596,0.00505358
,-1.7424641651507162,0.32303488,1.0095152,1.5684892,-1.5199884,0.2341236
,-1.6441601671167962,0.111807466,1.4335748,2.3840773,-0.67198503,-2.6984372
,-1.5458561690828763,-0.004076302,0.6816115,1.6658167,-0.20134799,-2.1623852
,-1.4475521710489563,0.5978632,-0.17725217,2.8692632,1.3578079,-1.6583663
,-1.3492481730150363,-0.46017516,-0.14993523,1.5584058,0.70067334,-3.9498444
,-1.2509441749811163,-0.10364434,0.34046564,0.47206822,0.51486945,-1.7419807
,-1.1526401769471963,0.67168975,0.18311481,2.8564823,-0.20001571,-0.15282221
,-1.0543361789132764,0.003116876,-0.64509124,1.6430423,0.59097475,-1.5764583
,-0.9560321808793564,-0.61647236,-1.5295763,1.8006392,0.6776392,-3.4145916
,-0.8577281828454364,0.3519323,-2.2952032,2.7624433,1.5898563,-0.6493674
,-0.7594241848115164,-0.017771244,-1.157141,2.617396,1.3525779,-2.883918
,-0.6611201867775964,-0.04848051,0.09437236,2.764614,1.2346874,-4.2875957
,-0.5628161887436764,0.5286225,0.077328116,2.5298696,1.5276023,-2.02031
,-0.46451219070975647,0.6873796,0.009873417,3.1074631,0.89475715,-1.2625753
,-0.3662081926758365,0.9279934,-0.6384701,3.293486,1.1842918,-0.127334
,-0.2679041946419165,0.35122386,-0.5903971,2.2358062,0.74412113,-0.98463476
,-0.16960019660799652,1.0658097,-0.47892234,3.8052359,0.8402437,0.09668159
,-0.07129619857407654,0.48894697,-0.9582379,1.5657147,2.2869592,-0.9386479
